City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Bud,US,2021-12-11 20:52:25,39.447,-86.1758,39.15,72,70,19.1
103,Mounana,GA,2021-12-11 20:52:25,-1.4085,13.1586,71.64,97,100,2.86
104,Vaini,TO,2021-12-11 20:52:25,-21.2,-175.2,82.56,83,40,5.75
105,Lavrentiya,RU,2021-12-11 20:52:26,65.5833,-171.0,-14.73,85,12,8.25
106,Matay,EG,2021-12-11 20:52:26,28.419,30.7792,64.45,42,100,6.64
107,Saskylakh,RU,2021-12-11 20:52:26,71.9167,114.0833,-40.72,100,99,2.06
108,Novikovo,RU,2021-12-11 20:52:27,51.1537,37.8879,29.71,86,43,9.22
109,Fortuna,US,2021-12-11 20:48:04,40.5982,-124.1573,48.92,76,75,7.0
110,Pisco,PE,2021-12-11 20:52:27,-13.7,-76.2167,73.45,68,0,17.27
111,Verkhnevilyuysk,RU,2021-12-11 20:52:27,63.4453,120.3167,-25.82,98,95,4.34
112,Susehri,TR,2021-12-11 20:52:28,40.1644,38.0867,41.18,54,73,3.96
113,Port Macquarie,AU,2021-12-11 20:51:11,-31.4333,152.9167,69.89,72,78,10.92
114,Salihorsk,BY,2021-12-11 20:52:28,52.7876,27.5415,38.16,97,100,7.65
115,Tacuati,PY,2021-12-11 20:52:28,-23.45,-56.5833,91.58,29,100,1.74
116,Bluff,NZ,2021-12-11 20:52:29,-46.6,168.3333,52.81,57,60,5.17
117,Tuatapere,NZ,2021-12-11 20:52:29,-46.1333,167.6833,52.83,51,9,5.75
118,Dom Pedrito,BR,2021-12-11 20:52:29,-30.9828,-54.6731,86.85,29,25,9.19
119,Northam,GB,2021-12-11 20:52:30,51.0333,-4.2167,53.42,97,100,17.13
120,Harer,ET,2021-12-11 20:52:30,9.3094,42.1258,53.38,77,7,5.5
121,Cabo San Lucas,MX,2021-12-11 20:52:30,22.8909,-109.9124,79.52,63,53,7.0
122,Hithadhoo,MV,2021-12-11 20:52:30,-0.6,73.0833,80.73,79,31,7.2
123,Poco Verde,BR,2021-12-11 20:52:12,-10.7083,-38.1833,79.99,61,14,14.52
124,Avera,US,2021-12-11 20:52:31,33.194,-82.5271,76.66,67,100,16.22
125,Ereymentau,KZ,2021-12-11 20:52:31,51.6199,73.1033,13.28,90,100,2.91
126,Ponta Do Sol,PT,2021-12-11 20:52:31,32.6667,-17.1,65.03,76,55,5.55
127,Severo-Kurilsk,RU,2021-12-11 20:52:32,50.6789,156.125,33.06,97,100,17.56
128,Pangnirtung,CA,2021-12-11 20:52:32,66.1451,-65.7125,-4.0,84,40,2.3
129,Mount Gambier,AU,2021-12-11 20:52:32,-37.8333,140.7667,51.71,87,14,8.05
130,Jamestown,US,2021-12-11 20:47:36,42.097,-79.2353,63.72,92,90,13.0
131,Constitucion,CL,2021-12-11 20:52:33,-35.3333,-72.4167,60.71,73,24,11.81
132,Cayenne,GF,2021-12-11 20:52:33,4.9333,-52.3333,79.09,89,75,5.99
133,Kaitangata,NZ,2021-12-11 20:52:33,-46.2817,169.8464,53.92,53,64,2.33
134,Lata,PT,2021-12-11 20:52:34,40.1629,-8.3327,53.35,95,18,2.53
135,Sholapur,IN,2021-12-11 20:52:34,17.6833,75.9167,73.65,52,99,11.23
136,Carmelo,UY,2021-12-11 20:51:12,-33.9892,-58.2856,87.21,36,19,7.58
137,Portland,US,2021-12-11 20:50:55,45.5234,-122.6762,49.86,93,90,3.0
138,San Cristobal,VE,2021-12-11 20:52:35,7.7669,-72.225,77.18,61,36,4.07
139,Loa Janan,ID,2021-12-11 20:53:35,-0.583,117.095,74.01,98,100,1.39
140,Anloga,GH,2021-12-11 20:53:35,5.7947,0.8973,84.42,80,98,10.67
141,Port Elizabeth,ZA,2021-12-11 20:53:36,-33.918,25.5701,66.09,79,100,5.66
142,Boa Vista,BR,2021-12-11 20:53:36,2.8197,-60.6733,80.58,78,75,2.3
