City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
94,Arua,UG,65.53,overcast clouds,3.0201,30.9111,Golden Courts Hotel
95,Jacareacanga,BR,73.89,heavy intensity rain,-6.2222,-57.7528,Casa do Ian😎
97,Mahebourg,MU,79.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
98,Faanui,PF,81.01,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
100,Nara,JP,61.97,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
101,Butaritari,KI,82.47,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
103,Houma,US,60.01,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
105,Katsuura,JP,62.19,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
106,Victoria,HK,71.96,clear sky,22.2855,114.1577,Mini Hotel Central
108,Hobart,AU,68.02,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
109,Esperance,AU,64.24,broken clouds,-33.8667,121.9,Hospitality Esperance
110,Jamestown,US,40.59,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
111,Christchurch,NZ,57.47,overcast clouds,-43.5333,172.6333,The George
112,Panchagarh,BD,62.62,clear sky,26.3313,88.562,Central Guest House (Pvt.) Ltd.
113,Enshi,CN,46.27,overcast clouds,30.3,109.4833,Moevenpick Enshi
114,Ribeira Grande,PT,62.11,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
115,Toowoomba,AU,76.24,few clouds,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
116,Kritsa,GR,61.43,clear sky,35.1667,25.65,Valley of Kritsa
117,Isangel,VU,83.62,overcast clouds,-19.55,169.2667,Tanna Lodge
118,Mawlaik,MM,65.46,broken clouds,23.6333,94.4167,AKZ Guest House
120,George,ZA,60.93,few clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
124,Malanje,AO,64.18,light rain,-9.5402,16.341,Hotel Ginga
125,Foumban,CM,65.1,overcast clouds,5.7291,10.9001,Hotel Pekassa De Karche
126,Ambikapur,IN,54.03,clear sky,23.1167,83.2,STARiHOTEL Ambikapur
127,Banjar,ID,84.06,broken clouds,-8.19,114.9675,The Hamsa Resort
129,Campoalegre,CO,72.5,overcast clouds,2.6849,-75.3231,Punto 20 Hostal
130,Lebu,CL,52.34,few clouds,-37.6167,-73.65,Hostal Las Lilas
131,Sanary-Sur-Mer,FR,42.76,scattered clouds,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
132,Newport,GB,55.17,overcast clouds,51.5877,-2.9984,ibis budget Newport
133,Porto Novo,BJ,79.11,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
135,Garh Maharaja,PK,56.95,overcast clouds,30.8339,71.9053,Zaki Pansar Shop
137,Trindade,BR,69.06,overcast clouds,-16.6494,-49.4889,Pousada Central
138,Corinth,GR,59.68,scattered clouds,37.9407,22.9573,Ephira Hotel
141,Namibe,AO,69.82,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
143,Cabo San Lucas,MX,74.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
144,Fraga,ES,43.63,clear sky,41.5229,0.3489,Hotel Casanova
145,Garowe,SO,68.27,clear sky,8.4054,48.4845,Curubo Hotel
147,Beira,MZ,76.24,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
149,Saint-Philippe,RE,76.55,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
151,Santiago,CL,62.85,few clouds,-33.4569,-70.6483,Che Lagarto Hostel Santiago
152,Pisco,PE,65.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
153,Camacha,PT,62.02,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
154,Margate,GB,52.97,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
155,Rapid Valley,US,40.05,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
157,Harper,LR,78.94,few clouds,4.375,-7.7169,Screensaver
158,Huilong,CN,53.04,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
161,Jawhar,SO,72.64,clear sky,2.7809,45.5005,hantiwadaag village part one
164,Nanyuki,KE,51.58,broken clouds,0.0167,37.0728,Lions Court Lodge
165,Sao Filipe,CV,74.41,broken clouds,14.8961,-24.4956,Hotel Xaguate
