City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Matagami,CA,49.7502,-77.6328,21.31,86,90,17.27,light snow
278,Katete,UG,-0.7818,29.7544,63.66,89,100,2.06,overcast clouds
279,Canete,CL,-37.8,-73.4,48.85,96,29,1.54,scattered clouds
280,San Juan De Los Lagos,MX,21.25,-102.3,60.1,24,11,0.69,few clouds
281,Rawson,AR,-43.3002,-65.1023,70.25,28,0,12.01,clear sky
282,Hambantota,LK,6.1241,81.1185,79.59,78,97,13.35,overcast clouds
283,Cherskiy,RU,68.75,161.3,-45.67,99,35,3.49,scattered clouds
284,Urumqi,CN,43.801,87.6005,-4.85,84,1,2.24,mist
285,Manzini,SZ,-26.25,31.5,71.67,71,14,2.62,few clouds
286,Mount Darwin,ZW,-16.7725,31.5838,67.26,57,1,4.14,clear sky
287,Gizo,SB,-8.103,156.8419,84.97,74,81,13.78,light rain
288,Matay,EG,28.419,30.7792,61.74,50,100,7.31,overcast clouds
289,Laguna,US,38.421,-121.4238,53.06,72,1,0.0,clear sky
290,Komsomolskiy,UZ,40.4272,71.7189,36.82,44,73,2.3,broken clouds
291,Portland,US,45.5234,-122.6762,48.61,95,90,1.99,overcast clouds
292,Seoul,KR,37.5683,126.9778,42.31,39,31,14.92,scattered clouds
293,Castro Alves,BR,-12.7656,-39.4283,69.89,97,25,3.94,light rain
294,Turayf,SA,31.6725,38.6637,48.45,71,0,11.5,clear sky
295,Broken Hill,AU,-31.95,141.4333,83.25,17,0,3.24,clear sky
296,Severo-Kurilsk,RU,50.6789,156.125,32.7,98,100,26.69,snow
297,Arlit,NE,18.7369,7.3853,65.77,9,93,2.24,overcast clouds
298,Qasigiannguit,GL,68.8193,-51.1922,19.65,81,96,7.07,overcast clouds
299,Tete,MZ,-16.1564,33.5867,84.29,54,20,6.91,few clouds
300,Saint-Pierre,RE,-21.3393,55.4781,76.64,74,0,8.05,clear sky
301,Acapulco,MX,16.8634,-99.8901,78.62,83,40,0.0,scattered clouds
302,Airai,TL,-8.9266,125.4092,73.02,70,53,1.14,broken clouds
303,Umm Kaddadah,SD,13.6017,26.6876,64.13,27,1,11.86,clear sky
304,Karlovac,HR,45.4872,15.5478,35.01,91,36,2.77,scattered clouds
305,Mount Isa,AU,-20.7333,139.5,96.57,9,0,6.91,clear sky
306,Maceio,BR,-9.6658,-35.7353,78.24,88,40,5.75,scattered clouds
307,Mumford,GH,5.2618,-0.759,80.15,83,57,6.85,broken clouds
308,Tuy Hoa,VN,13.0833,109.3,75.0,88,99,10.33,overcast clouds
309,Vanavara,RU,60.34,102.2797,2.19,99,100,2.8,overcast clouds
310,Rocha,UY,-34.4833,-54.3333,58.14,94,0,6.73,clear sky
311,Leshan,CN,29.5623,103.7639,53.35,68,75,2.93,broken clouds
312,Fethiye,TR,36.6217,29.1164,66.07,68,46,7.16,scattered clouds
313,Kavali,IN,14.9167,79.9833,77.43,81,22,8.48,few clouds
314,Wasilla,US,61.5814,-149.4394,9.52,76,75,4.61,broken clouds
315,Kiunga,PG,-6.1219,141.2906,77.41,93,100,0.96,overcast clouds
316,Liling,CN,27.6667,113.5,49.89,83,100,6.53,overcast clouds
317,Valleyview,CA,55.0667,-117.2859,19.44,73,39,9.22,scattered clouds
318,Deputatskiy,RU,69.3,139.9,-29.33,100,97,1.57,overcast clouds
319,Aleksandriyskaya,RU,44.2272,43.3453,35.64,93,66,7.0,broken clouds
320,Asyut,EG,27.181,31.1837,65.53,29,100,5.26,overcast clouds
321,Nuuk,GL,64.1835,-51.7216,25.41,86,75,12.66,light shower snow
322,Grenville,GD,12.1167,-61.6167,80.65,79,100,19.55,overcast clouds
323,Zlobin,HR,45.2924,14.6541,34.9,54,0,6.91,clear sky
324,Australind,AU,-33.2667,115.7167,66.06,37,2,7.63,clear sky
325,Kelowna,CA,49.8831,-119.4857,38.28,85,90,4.61,overcast clouds
326,Kattivakkam,IN,13.2167,80.3167,80.08,89,70,12.48,broken clouds
327,Kuruman,ZA,-27.4524,23.4325,70.59,60,100,16.75,overcast clouds
328,Hoa Binh,VN,20.8133,105.3383,67.89,65,27,1.77,scattered clouds
329,Shimoda,JP,34.6667,138.95,64.76,60,5,17.47,clear sky
330,Kudahuvadhoo,MV,2.6708,72.8944,79.36,83,98,20.6,overcast clouds
331,Altamira,BR,-3.2033,-52.2064,74.55,96,100,1.52,overcast clouds
332,Paamiut,GL,61.994,-49.6678,25.36,89,100,24.99,overcast clouds
333,Eldorado,BR,-23.7869,-54.2836,74.08,29,100,2.77,overcast clouds
334,Ardmore,US,34.1743,-97.1436,44.26,46,1,0.0,clear sky
335,Tual,ID,-5.6667,132.75,83.61,74,94,12.97,overcast clouds
336,Yarmouth,US,41.7057,-70.2286,64.45,97,90,14.97,mist
337,Salalah,OM,17.0151,54.0924,75.29,35,0,8.05,clear sky
338,Kuah,MY,6.3265,99.8432,82.4,69,20,9.22,few clouds
339,Haapiti,PF,-17.5667,-149.8667,83.93,71,15,8.08,light rain
340,Hamilton,US,39.1834,-84.5333,36.63,76,1,1.01,clear sky
341,Lagoa,PT,39.05,-27.9833,60.82,71,98,22.84,overcast clouds
342,Camabatela,AO,-8.1881,15.375,63.72,99,100,1.92,moderate rain
343,Gorin,RU,51.1983,136.6669,16.45,92,100,6.4,light snow
344,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,94,40,13.67,scattered clouds
345,Maarianhamina,AX,60.0973,19.9348,31.86,100,90,2.3,overcast clouds
346,Olafsvik,IS,64.8945,-23.7142,39.94,89,93,18.37,moderate rain
